,Date,riskfree,kospi200,professionalism,pbr,activity,MA1M,indireturn,indistd,actualreturn,indexreturn
0,1999-12-31,4.79,11.18,2872.5197342616198,0.3043,-1.164788043950192e-05,-6.81,-6.81,0.0522,-6.81,11.18
1,2000-01-31,4.78,-8.41,2691.696944057336,0.27759,-6.933969656024255e-08,-7.69,-7.69,0.0293,-7.69,-8.41
2,2000-02-29,5.07,-13.36,1552.7028042063096,0.27865,-3.620094831971968e-07,-5.12,-5.12,0.052,-5.12,-13.36
3,2000-03-31,5.05,4.71,2624.2569766885263,0.29485,-5.307542509982993e-06,5.81,5.81,0.0455,5.81,4.71
4,2000-04-30,5.06,-17.96,1221.3775127242816,0.2833,-4.7125264176368966e-05,-4.3,-4.3,0.0376,-4.3,-17.96
5,2000-05-31,5.12,1.68,2668.819503849444,0.26259,-1.0217838998669808e-05,-7.35,-7.35,0.0342,-7.35,1.68
6,2000-06-30,5.16,12.61,2563.7816489361703,0.27414,1.1676271338821811e-05,6.76,6.76,0.0349,6.76,12.61
7,2000-07-31,5.13,-14.44,689.7314636372857,0.27175,1.021865607852869e-05,-0.84,-0.84,0.0225,-0.84,-14.44
8,2000-08-31,5.12,-3.14,1189.7645468589083,0.2683,9.216725849128986e-06,-1.28,-1.28,0.019,-1.28,-3.14
9,2000-09-30,5.09,-17.36,350.4887919117448,0.259,-1.8045074017026817e-07,-5.08,-5.08,0.0324,-5.08,-17.36
10,2000-10-31,5.37,-16.2,508.6380905851247,0.25329,0.0,-2.23,-2.23,0.044,-2.23,-16.2
11,2000-11-30,5.32,-0.81,1995.0014898688914,0.23537,-1.120201337520397e-07,-7.08,-7.08,0.0308,-7.08,-0.81
12,2000-12-31,6.08,-4.36,374.3351331223236,0.25449,0.0,7.58,7.58,0.0296,7.58,-4.36
13,2001-01-31,5.27,23.09,617.709373163868,0.22966,-2.134260814576211e-07,-9.32,-9.32,0.0326,-9.32,23.09
14,2001-02-28,5.06,-7.49,3322.4015124868097,0.24802,-1.2871971524622828e-06,6.42,6.42,0.0524,6.42,-7.49
15,2001-03-31,4.96,-9.68,790.9014538121181,0.23019,-3.73324682832592e-07,-7.19,-7.19,0.0108,-7.19,-9.68
16,2001-04-30,5.01,11.19,416.9768390660306,0.23481,-3.7632041425351203e-07,2.0,2.0,0.0274,2.0,11.19
17,2001-05-31,5.01,5.02,1218.9552393043787,0.25899,0.0,10.29,10.29,0.0123,10.29,5.02
18,2001-06-30,4.99,-7.17,505.6328337874659,0.26705,-1.2394428434974383e-07,3.11,3.11,0.025,3.11,-7.17
19,2001-07-31,4.77,-8.5,348.0716133878641,0.2504,-1.1921187703515647e-05,-6.25,-6.25,0.0236,-6.25,-8.5
20,2001-08-31,4.54,0.66,739.7188204032118,0.24287,1.3297079328117678e-05,-2.99,-2.99,0.0231,-2.99,0.66
21,2001-09-30,4.0,-17.28,988.316878232252,0.24869,-1.9028137858858787e-07,-1.37,-1.37,0.0317,-1.37,-17.28
22,2001-10-31,4.02,12.78,594.6530197444831,0.24921,-9.936596215304312e-07,0.23,0.23,0.018,0.23,12.78
23,2001-11-30,4.04,20.45,747.4572007526415,0.24631,0.0,-2.28,-2.28,0.0189,-2.28,20.45
24,2001-12-31,4.01,10.41,687.7574830739993,0.23481,-4.772103645546321e-08,-2.86,-2.86,0.0146,-2.86,10.41
25,2002-01-31,3.98,6.92,409.19178544061305,0.23022,-2.7579406559268143e-07,-0.49,-0.49,0.0161,-0.49,6.92
26,2002-02-28,4.01,10.36,700.8374801482265,0.23256,-1.097746770206839e-07,0.24,0.24,0.0137,0.24,10.36
27,2002-03-31,4.0,8.98,3855.993684334789,0.24337,-1.4541948892091009e-06,4.63,4.63,0.0225,4.63,8.98
28,2002-04-30,4.04,-4.87,1459.847873726605,0.23087,1.4393089771343068e-06,-5.13,-5.13,0.013,-5.13,-4.87
29,2002-05-31,4.28,-5.25,670.1831815586211,0.23478,-8.561327951655404e-08,1.72,1.72,0.0132,1.72,-5.25
30,2002-06-30,4.26,-12.73,783.9506041537417,0.23816,-4.3965522655852547e-08,1.45,1.45,0.0159,1.45,-12.73
31,2002-07-31,4.27,-3.77,9417.740354319007,0.23373,-1.803571780026376e-09,-1.9,-1.9,0.0146,-1.9,-3.77
32,2002-08-31,4.28,1.76,224.40630842530607,0.23764,1.0494186604554733e-06,0.72,0.72,0.0147,0.72,1.76
33,2002-09-30,4.28,-12.08,12993.248013529475,0.28361,3.832450828028892e-08,19.33,19.33,0.0706,19.33,-12.08
